title,times,link,difficulty
Battleships in a Board,3,https://leetcode.com/problems/battleships-in-a-board/,medium
LRU Cache,3,https://leetcode.com/problems/lru-cache/,medium
Minimum Knight Moves,2,https://leetcode.com/problems/minimum-knight-moves/,premium
Valid Number,2,https://leetcode.com/problems/valid-number/,hard
